Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
MEDANTA,2026-06-24,1302.8,7,9119.6,2026-09-22,1499.4,1376.2,15.09,90,Both lines flipped bearish — trend reversal,Paper
SOLARINDS,2026-07-09,17971.0,1,17971.0,2026-09-22,18555.0,584.0,3.25,75,"Trailing stop hit (20430.0, high since entry 22700.0)",Paper
NYKAA,2026-06-30,302.05,33,9967.65,2026-09-23,333.55,1039.5,10.43,85,Both lines flipped bearish — trend reversal,Paper
COFORGE,2026-07-03,1441.9,6,8651.4,2026-09-23,1803.0,2166.6,25.04,82,"Both lines flipped bearish AND trailing stop hit (1819.08, high since entry 2021.199951171875)",Paper
BAJAJ-AUTO,2026-07-22,10403.5,1,10403.5,2026-09-23,11363.0,959.5,9.22,63,Both lines flipped bearish — trend reversal,Paper
BHEL,2026-07-30,405.15,24,9723.6,2026-09-23,425.8,495.6,5.1,55,Both lines flipped bearish — trend reversal,Paper
