Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
SUPREMEIND,2026-08-05,3530.0,2,7060.0,2026-09-22,3580.3,100.6,1.42,48,Both lines flipped bearish — trend reversal,Paper
IDEA,2026-08-31,14.68,681,9997.08,2026-09-22,13.92,-517.56,-5.18,22,"Trailing stop hit (14.21, high since entry 15.789999961853027)",Paper
PETRONET,2026-08-14,279.3,35,9775.5,2026-09-23,281.75,85.75,0.88,40,Both lines flipped bearish — trend reversal,Paper
POLICYBZR,2026-08-17,1741.0,5,8705.0,2026-09-23,1793.0,260.0,2.99,37,Both lines flipped bearish — trend reversal,Paper
DLF,2026-08-18,671.0,14,9394.0,2026-09-23,669.5,-21.0,-0.22,36,Both lines flipped bearish — trend reversal,Paper
MRF,2026-09-03,132335.0,1,132335.0,2026-09-23,124855.0,-7480.0,-5.65,20,Both lines flipped bearish — trend reversal,Paper
AXISBANK,2026-09-07,1273.0,7,8911.0,2026-09-23,1242.7,-212.1,-2.38,16,Both lines flipped bearish — trend reversal,Paper
BAJAJHLDNG,2026-09-16,11100.0,1,11100.0,2026-09-23,11185.0,85.0,0.77,7,Both lines flipped bearish — trend reversal,Paper
