Symbol,Industry,IsBanking
LODHA,Real Estate - Development,False
LTF,Credit Services,True
UNOMINDA,Auto Parts,False
GODREJPROP,Real Estate - Development,False
JSWSTEEL,Steel,False
NAUKRI,Internet Content & Information,False
MOTILALOFS,Capital Markets,False
SUPREMEIND,Building Products & Equipment,False
INDIANB,Banks - Regional,True
GODFRYPHLP,Tobacco,False
HYUNDAI,Auto Manufacturers,False
MFSL,Insurance - Life,True
ENDURANCE,Auto Parts,False
VMM,Department Stores,False
GODREJCP,Household & Personal Products,False
ESCORTS,Farm & Heavy Construction Machinery,False
TIINDIA,Conglomerates,False
EXIDEIND,Auto Parts,False
NAM-INDIA,Asset Management,True
GAIL,Utilities - Regulated Gas,False
IRCTC,Travel Services,False
APLAPOLLO,Steel,False
PHOENIXLTD,Real Estate - Diversified,False
LINDEINDIA,Specialty Chemicals,False
360ONE,Asset Management,True
PETRONET,Oil & Gas Refining & Marketing,False
COLPAL,Household & Personal Products,False
KPRMILL,Textile Manufacturing,False
NTPCGREEN,Utilities - Renewable,False
LICHSGFIN,Mortgage Finance,True
PIIND,Agricultural Inputs,False
FLUOROCHEM,Specialty Chemicals,False
ASTRAL,Building Products & Equipment,False
DABUR,Household & Personal Products,False
M&MFIN,Credit Services,True
LTTS,Information Technology Services,False
JSL,Steel,False
CRISIL,Financial Data & Stock Exchanges,False
TATAINVEST,Asset Management,True
OBEROIRLTY,Real Estate - Development,False
TORNTPOWER,Utilities - Independent Power Producers,False
HONAUT,Electrical Equipment & Parts,False
HEXT,Information Technology Services,False
SJVN,Utilities - Renewable,False
SHREECEM,Building Materials,False
GODREJIND,Conglomerates,False
BALKRISIND,Auto Parts,False
JKCEMENT,Building Materials,False
SUNDARMFIN,Credit Services,True
ACC,Building Materials,False
3MINDIA,Conglomerates,False
UBL,Beverages - Brewers,False
